Total,Ambiguous,Word,POS
75,69/7/6,specto/as/are,PossibleVerb.
75,63/28/12,laus/laudis,f.
75,51/33/24,deduco/is/ere/duxi/ductum,PossibleVerb.
75,30/84/45,humanus,adj.
75,24/75/51,navis/is,f.
75,17/118/58,beatus,adj.
74,74/0/0,T,npr.
74,74/0/0,spatium/ii,n.
74,74/0/0,condicio/onis,f.
74,63/13/11,crassus,adj.
74,22/105/52,praesum/es/esse/fui,PossibleVerb.
74,2/161/72,singulus/cf. singuli,PossibleVerb.
74,0/347/74,maxime/maxume,adv.
74,0/177/74,honestum/i,n.
74,0/170/74,inde,adv.
73,73/0/0,transfero/fers/ferre/tuli/latum,PossibleVerb.
73,73/0/0,Hannibal/alis,m.
73,65/11/8,tracto/as/are,PossibleVerb.
73,49/33/24,fugio/is/ere/fugi,PossibleVerb.
73,45/42/28,animal/alis,n.
73,37/43/36,posterus,adj.
72,8/125/64,vinum/i,n.
72,72/0/0,donec,conj. sub.
