Total,Ambiguous,Word,POS
82,57/37/25,laudo/as/are,PossibleVerb.
82,0/340/82,natura/ae,f.
82,0/226/82,publica/ae,f.
82,0/202/82,adversus,adj.
82,0/157/82,liceo,v. impers.
81,81/0/0,infero/es/ferre/tuli/illatum,PossibleVerb.
81,81/0/0,circa,prep. + acc.
81,80/1/1,confero/fers/ferre/tuli/latum,PossibleVerb.
81,72/10/9,comparo/as/are,PossibleVerb.
81,62/32/19,regnum/i,n.
81,62/28/19,dolor/oris,m.
81,55/41/26,tollo/is/tollere/sustuli/sublatum,PossibleVerb.
81,42/87/39,cura/ae,f.
81,41/65/40,orator/oris,m.
81,29/113/52,proficiscor/eris/i/fectus sum,PossibleVerb.
80,80/0/0,quando,conj. sub.
80,78/3/2,victoria/ae,f.
80,75/5/5,amitto/is/ere/misi/missum,PossibleVerb.
80,54/36/26,instituo/is/ere/tui/tutum,PossibleVerb.
80,18/96/62,aequus/aecus,adj.
79,79/0/0,omnino,adv.
79,79/0/0,multitudo/dinis,f.
79,79/0/0,ingenium/ii,n.
79,73/23/6,filia/ae,f.
79,57/45/22,sto/as/are/steti/statum,PossibleVerb.
79,44/59/35,vetus/eris,PossibleVerb.
79,37/83/42,decerno/is/ere/creui/cretum,PossibleVerb.
79,1/299/78,magus,adj.
78,78/0/0,quin,conj.
78,78/0/0,diu,adv.
78,71/9/7,statuo/is/ere/statui/statutum,PossibleVerb.
78,53/187/25,reus/i,m.
78,0/161/78,super,prep. + acc. / abl.
77,77/0/0,prope/adv.,prep. + acc.
77,77/0/0,classis/is,f.
77,77/0/0,adhibeo/es/ere/ui/itum,PossibleVerb.
77,68/31/9,nomino/as/are,PossibleVerb.
77,57/27/20,utilis,e
77,53/50/24,os/ossis,n.
77,11/259/66,sol/solis,m.
77,0/299/77,magus/i,m.
76,76/0/0,proelium/ii,n.
76,76/0/0,familia/ae,f.
76,0/128/76,arma/orum,n. pl.
75,75/0/0,gloria/ae,f.
75,75/0/0,extra,prep. + acc.
75,74/1/1,defero/fers/ferre/tuli/latum,PossibleVerb.
75,0/235/75,ceteri/ae,a pl.
74,74/0/0,utilitas/atis,f.
74,74/0/0,prohibeo/es/ere/bui/bitum,PossibleVerb.
74,74/0/0,adhuc/adhoc,adv.
74,66/9/8,quisquis/quidquid ou quicquid,PossibleVerb.
74,49/30/25,audeo/es/ere/ausus sum,PossibleVerb.
74,28/64/46,auctor/oris,m.
74,0/209/74,tantum,adv.
73,73/0/0,magnitudo/dinis,f.
73,62/13/11,reperio/is/ire/rep(p)eri/repertum,PossibleVerb.
73,54/25/19,absum/es/esse/afui,PossibleVerb.
73,13/116/60,mare/is,n.
72,72/0/0,denique,adv.
72,72/0/0,amicitia/ae,f.
72,72/0/0,acies/ei,f.
72,71/1/1,procedo/is/ere/cessi/cessum,PossibleVerb.
72,54/42/18,pugno/as/are,PossibleVerb.
72,41/47/31,tertius,adj.
72,30/81/42,os/oris,n.
72,23/113/49,proficio/is/ere/feci/fectum,PossibleVerb.
72,0/292/72,magis/mage,adv.
72,0/291/72,maga/ae,f.
71,71/0/0,transfero/fers/ferre/tuli/latum,PossibleVerb.
71,71/0/0,religio/relligio/onis,f.
71,71/0/0,italia/ae,f.
71,59/13/12,arbitror/aris/ari/atus sum,PossibleVerb.
71,18/187/53,usus/us,m.
71,0/158/71,facile,adv.
70,70/0/0,postquam,conj. sub.
70,70/0/0,opinio/onis/f,PossibleVerb.
70,70/0/0,fructus/us,m.
70,69/1/1,conficio/is/ere/feci/fectum,PossibleVerb.
70,63/19/7,severus,adj.
70,61/10/9,permitto/is/ere/misi/missum,PossibleVerb.
70,52/24/18,dignus,adj.
70,15/116/55,communis,e
70,12/180/58,veneo/is/ire/ivi (ii)/itum,intr.
70,0/185/70,summum/i,n.
69,69/0/0,hereditas/haereditas/atis,f.
69,69/0/0,Hannibal/alis,m.
69,66/3/3,persequor/eris/i/persecutus sum,PossibleVerb.
69,62/8/7,vendo/is/ere/didi/ditum,PossibleVerb.
69,6/363/63,dico/as/are,PossibleVerb.
69,6/155/63,patrius,adj.
69,56/14/13,nolo/non uis/nolle/nolui,PossibleVerb.
69,22/106/47,fortis,e
69,1/172/68,animo/as/are,PossibleVerb.
68,68/0/0,mons/montis,m.
68,68/0/0,magistratus/us,m.
68,68/0/0,disciplina/ae,f.
68,68/0/0,consuetudo/dinis,f.
68,66/3/2,fama/ae,f.
68,63/6/5,muto/as/are,PossibleVerb.
68,58/60/10,malo/mauis/malle/malui,PossibleVerb.
68,27/81/41,praesum/es/esse/fui,PossibleVerb.
67,67/0/0,demonstro/as/are,PossibleVerb.
67,66/1/1,cedo/is/ere/cessi/cessum,PossibleVerb.
67,62/5/5,retineo/es/ere/ui/tentum,PossibleVerb.
